run,biosample,collection_date,env_biome,genotype,isolate,isolation_source,sample_tittle,sample_type,releasedate,loaddate,spots,bases,spots_with_mates,avglength,size_mb,assemblyname,download_path,experiment,libraryname,librarystrategy,libraryselection,librarysource,librarylayout,platform,model,srastudy,bioproject,sample,taxid,scientificname,samplename,tumor,centername,consent,outbreak_number_sporadic,country_geoloc,region_geoloc,city_geoloc
SRR3177816,SAMN04494431,1989-12-20,watershed,B,VANC/89/UBC/48,human,NA,trophozoites,2017-04-30 00:00:55,2016-02-18 16:09:30,1672473,839581446,1672473,502,475,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/177/SRR3177816/SRR3177816.sralite.1,SRX1592329,VANC/89/UBC/48,WGS,RANDOM,GENOMIC,PAIRED,Illumina,Illumina MiSeq,SRP056976,PRJNA280606,SRS1300429,5741,Giardia duodenalis,VANC/89/UBC/48,no,UNIVERSITY OF BRITISH COLUMBIA,public,3,CANADA,BC,Kitimat
SRR3177826,SAMN04494432,1989-02-27,giardiasis,B,VANC/89/UBC/59,dog,NA,trophozoites,2017-04-30 00:00:56,2016-02-18 16:10:42,1372325,688907150,1372325,502,397,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/177/SRR3177826.sralite.1,SRX1592330,VANC/89/UBC/59,WGS,RANDOM,GENOMIC,PAIRED,Illumina,Illumina MiSeq,SRP056976,PRJNA280606,SRS1300430,5741,Giardia duodenalis,VANC/89/UBC/59,no,UNIVERSITY OF BRITISH COLUMBIA,public,Sporadic,CANADA,BC,Nanaimo
SRR3177835,SAMN04494433,1990-02-16,watershed,B,VANC/90/UBC/47,human,NA,trophozoites,2017-04-30 00:00:56,2016-02-18 16:14:24,1854441,930929382,0,502,553,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/177/SRR3177835/SRR3177835.sralite.1,SRX1592331,VANC/90/UBC/47,WGS,RANDOM,GENOMIC,PAIRED,Illumina,Illumina MiSeq,SRP056976,PRJNA280606,SRS1300431,5741,Giardia duodenalis,VANC/90/UBC/47,no,UNIVERSITY OF BRITISH COLUMBIA,public,3,CANADA,BC,Kitimat
SRR3177841,SAMN04494434,1990-03-03,watershed,B,VANC/90/UBC/50_2,water,NA,trophozoites,2017-04-30 00:00:56,2016-02-18 16:14:20,1688392,847572784,1688392,502,518,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/177/SRR3177841/SRR3177841.sralite.1,SRX1592333,VANC/90/UBC/50_2,WGS,RANDOM,GENOMIC,PAIRED,Illumina,Illumina MiSeq,SRP056976,PRJNA280606,SRS1300432,5741,Giardia duodenalis,VANC/90/UBC/50_2,no,UNIVERSITY OF BRITISH COLUMBIA,public,1,CANADA,BC,Creston
SRR3177858,SAMN04494435,1990-03-09,watershed,B,VANC/90/UBC/51,water,NA,trophozoites,2017-04-30 00:00:56,2016-02-18 16:15:21,2629840,1320179680,2629840,502,862,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/177/SRR3177858.sralite.1,SRX1592335,VANC/90/UBC/51,WGS,RANDOM,GENOMIC,PAIRED,Illumina,Illumina MiSeq,SRP056976,PRJNA280606,SRS1300435,5741,Giardia duodenalis,VANC/90/UBC/51,no,UNIVERSITY OF BRITISH COLUMBIA,public,3,CANADA,BC,Kitimat
SRR3177862,SAMN04494436,1990-04-10,watershed,B,VANC/90/UBC/54,beaver,NA,trophozoites,2017-04-30 00:00:56,2016-02-18 16:22:13,1941718,974742436,1941718,502,653,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/177/SRR3177862.sralite.1,SRX1592336,VANC/90/UBC/54,WGS,RANDOM,GENOMIC,PAIRED,Illumina,Illumina MiSeq,SRP056976,PRJNA280606,SRS1300436,5741,Giardia duodenalis,VANC/90/UBC/54,no,UNIVERSITY OF BRITISH COLUMBIA,public,Sporadic,CANADA,BC,Goat River
SRR3177873,SAMN04494437,1990-04-10,watershed,B,VANC/90/UBC/55,beaver,NA,trophozoites,2017-04-30 00:00:56,2016-02-18 16:18:31,1475889,740896278,1475889,502,456,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/177/SRR3177873/SRR3177873.sralite.1,SRX1592338,VANC/90/UBC/55,WGS,RANDOM,GENOMIC,PAIRED,Illumina,Illumina MiSeq,SRP056976,PRJNA280606,SRS1300437,5741,Giardia duodenalis,VANC/90/UBC/55,no,UNIVERSITY OF BRITISH COLUMBIA,public,Sporadic,CANADA,BC,Goat River
SRR3177900,SAMN04494438,1989-12-05,watershed,A,VANC/90/UBC/57,beaver,NA,trophozoites,2017-04-30 00:00:56,2016-02-18 16:19:26,1218267,611570034,1218267,502,370,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/177/SRR3177900.sralite.1,SRX1592341,VANC/90/UBC/57,WGS,RANDOM,GENOMIC,PAIRED,Illumina,Illumina MiSeq,SRP056976,PRJNA280606,SRS1300440,5741,Giardia duodenalis,VANC/90/UBC/57,no,UNIVERSITY OF BRITISH COLUMBIA,public,Sporadic,CANADA,BC,Bella Coola
SRR3177903,SAMN04494439,1990-09-12,watershed,B,VANC/90/UBC/58,water,NA,trophozoites,2017-04-30 00:00:56,2016-02-18 16:20:00,1825727,916514954,1825727,502,512,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/177/SRR3177903/SRR3177903.sralite.1,SRX1592343,VANC/90/UBC/58,WGS,RANDOM,GENOMIC,PAIRED,Illumina,Illumina MiSeq,SRP056976,PRJNA280606,SRS1300443,5741,Giardia duodenalis,VANC/90/UBC/58,no,UNIVERSITY OF BRITISH COLUMBIA,public,Sporadic,CANADA,BC,Mission Creek
SRR3177917,SAMN04494440,1990-07-05,watershed,B,VANC/90/UBC/61,water,NA,trophozoites,2017-04-30 00:00:56,2016-02-18 16:23:38,2734510,1372724020,2734510,502,826,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/177/SRR3177917/SRR3177917.sralite.1,SRX1592344,VANC/90/UBC/61,WGS,RANDOM,GENOMIC,PAIRED,Illumina,Illumina MiSeq,SRP056976,PRJNA280606,SRS1300444,5741,Giardia duodenalis,VANC/90/UBC/61,no,UNIVERSITY OF BRITISH COLUMBIA,public,2,CANADA,BC,Barriere
SRR3177919,SAMN04494441,1990-07-31,watershed,A,VANC/90/UBC/62,water,NA,trophozoites,2017-04-30 00:00:57,2016-02-18 16:21:32,1484948,745443896,1484948,502,463,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/177/SRR3177919/SRR3177919.sralite.1,SRX1592345,VANC/90/UBC/62,WGS,RANDOM,GENOMIC,PAIRED,Illumina,Illumina MiSeq,SRP056976,PRJNA280606,SRS1300445,5741,Giardia duodenalis,VANC/90/UBC/62,no,UNIVERSITY OF BRITISH COLUMBIA,public,2,CANADA,BC,Barriere
SRR3177926,SAMN04494442,1991-01-04,watershed,B,VANC/90/UBC/63,human,NA,trophozoites,2017-04-30 00:00:57,2016-02-18 16:22:26,2104944,1056681888,2104944,502,657,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/177/SRR3177926.sralite.1,SRX1592346,VANC/90/UBC/63,WGS,RANDOM,GENOMIC,PAIRED,Illumina,Illumina MiSeq,SRP056976,PRJNA280606,SRS1300446,5741,Giardia duodenalis,VANC/90/UBC/63,no,UNIVERSITY OF BRITISH COLUMBIA,public,2,CANADA,BC,Barriere
